,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001,MoSDPOP
630,Hamdan Health Center / مركز صحي حمدان,Hamdan Health Center,Primary Health Care Center - Main,HF_CM_BSS_115,Basra Health Department / Abi Al-Khaseeb Primary Health Care Sector ,Abi Al-Khaseeb Primary Health Care Sector / قطاع أبي الخصيب للرعاية الصحية الأولية,2022-08-03 07:34:51,47.891322,30.456429,54008.0
631,Abu muqira / مركز صحي أبو مغيرة,Abu muqira,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_BSS_108,Basra Health Department / Abi Al-Khaseeb Primary Health Care Sector ,Abi Al-Khaseeb Primary Health Care Sector / قطاع أبي الخصيب للرعاية الصحية الأولية,2022-07-25 07:34:51,47.958535,30.45992,41462.0
633,Mehjran / مركز صحي مهيجران,Mehjran,Primary Health Care Center - Main,HF_CM_BSS_131,Basra Health Department / Abi Al-Khaseeb Primary Health Care Sector ,Abi Al-Khaseeb Primary Health Care Sector / قطاع أبي الخصيب للرعاية الصحية الأولية,2022-08-01 07:34:51,47.880169,30.468835,67946.0
639,Shatt AlArab Primary Health Center / مركز صحي شط العرب الرعاية الصحية الاولية,Shatt AlArab Primary Health Center,Primary Health Care Center - Main,HF_CM_BSS_124,Basra Health Department / Shatt Al Arab Primary Health Care Sector ,Shatt Al Arab Primary Health Care Sector / قطاع شط العرب للرعاية الصحية الأولية,2022-07-19 07:34:51,47.854529,30.531099,95534.0
705,Hamza primary Health Care Sector / قطاع الحمزة للرعاية الصحية الاولية,Hamza primary Health Care Sector,Health Sector,HS_HM_SS_DIW_1,Diwaniyah Health Department / Hamzah Primary Health Care Sector ,Hamzah Primary Health Care Sector / قطاع الحمزة للرعاية الصحية الاولية,2022-08-11 07:34:51,44.9872059,31.7240754,170000.0
714,Al Hamza second health center / مركز صحي الحمزة الثاني,Al Hamza second health center,Primary Health Care Center - Main,HF_CM_DIW_18,Diwaniyah Health Department / Hamzah Primary Health Care Sector ,Hamzah Primary Health Care Sector / قطاع الحمزة للرعاية الصحية الاولية,2022-08-31 07:34:51,44.9724822,31.7140778,61668.0
715,Hamza first health center / مركز صحي الحمزة الأول,Hamza first health center,Primary Health Care Center - Main,HF_CM_DIW_16,Diwaniyah Health Department / Hamzah Primary Health Care Sector ,Hamzah Primary Health Care Sector / قطاع الحمزة للرعاية الصحية الاولية,2022-08-31 07:34:51,44.9763184,31.7193818,40018.0
719,Al sudair health center / مركز صحي السدير,Al sudair health center,Primary Health Care Center - Main,HF_CM_DIW_26,Diwaniyah Health Department / Hamzah Primary Health Care Sector ,Hamzah Primary Health Care Sector / قطاع الحمزة للرعاية الصحية الاولية,2022-07-31 07:34:51,44.9396376,31.8275813,53202.0
735,مركز صحي الجزائر / مركز صحي حي الجزائر,مركز صحي الجزائر,Primary Health Care Center - Main,HF_CM_DIW_60,Diwaniyah Health Department / Al-Diwaniyah First Primary Health Care Sector ,Al-Diwaniyah First Primary Health Care Sector / قطاع الديوانية الأول للرعاية الصحية الاولية,2022-07-10 07:34:51,44.907472,31.990579,236157.0
741,المركز الصحي السنية الاول / مركز صحي السنية الاول,المركز الصحي السنية الاول,Primary Health Care Center - Main,HF_CM_DIW_27,Diwaniyah Health Department / Al-Diwaniyah First Primary Health Care Sector ,Al-Diwaniyah First Primary Health Care Sector / قطاع الديوانية الأول للرعاية الصحية الاولية,2022-07-10 07:34:51,44.772816,32.058633,47841.0
758,alaskan alsenaiy / مركز صحي الإسكان الصناعي,alaskan alsenaiy,Primary Health Care Center - Main,HF_CM_DIW_1,Diwaniyah Health Department / Al-Diwaniyah Second Primary Health Care Sector ,Al-Diwaniyah Second Primary Health Care Sector / قطاع الديوانية الثاني للرعاية الصحية الاولية,2022-08-07 07:34:51,44.965158,31.969962,38263.0
763,alshahid farhan abod / مركز صحي حي الوحدة الشهيد فرحان علود,alshahid farhan abod,Primary Health Care Center - Main,HF_CM_DIW_69,Diwaniyah Health Department / Al-Diwaniyah Second Primary Health Care Sector ,Al-Diwaniyah Second Primary Health Care Sector / قطاع الديوانية الثاني للرعاية الصحية الاولية,2022-08-20 07:34:51,44.93806,31.994575,37899.0
768,alsadr 1 / مركز صحي حي الصدر الأولى,alsadr 1,Primary Health Care Center - Main,HF_CM_DIW_65,Diwaniyah Health Department / Al-Diwaniyah Second Primary Health Care Sector ,Al-Diwaniyah Second Primary Health Care Sector / قطاع الديوانية الثاني للرعاية الصحية الاولية,2022-08-01 07:34:51,44.924562,32.012399,67201.0
774,aldaghara / مركز صحي الدغارة,aldaghara,Primary Health Care Center - Main,HF_CM_DIW_23,Diwaniyah Health Department / Al-Diwaniyah Second Primary Health Care Sector ,Al-Diwaniyah Second Primary Health Care Sector / قطاع الديوانية الثاني للرعاية الصحية الاولية,2022-08-12 07:34:51,44.933027,32.137146,67301.0
791,The second health center in ghammas  / مركز صحي غماس الثاني,The second health center in ghammas ,Primary Health Care Center - Main,HF_CM_DIW_76,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-17 07:34:51,44.606712,31.732462,54078.0
792,The first health center in ghammas / مركز صحي غماس الأول,The first health center in ghammas,Primary Health Care Center - Main,HF_CM_DIW_75,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-17 07:34:51,44.611039,31.745739,62468.0
796,The second health center in shamiya / مركز صحي الشامية الثاني,The second health center in shamiya,Primary Health Care Center - Main,HF_CM_DIW_33,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-06 07:34:51,44.59403,31.960987,49145.0
797,The first health center in shamiya  / مركز صحي الشامية الأول,The first health center in shamiya ,Primary Health Care Center - Main,HF_CM_DIW_31,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-07-21 07:34:51,44.601167,31.963567,70295.0
801,The center healthy in almuhnawia / مركز صحي المهناوية,The center healthy in almuhnawia,Primary Health Care Center - Main,HF_CM_DIW_50,Diwaniyah Health Department / Shamiya Primary Health Care Sector ,Shamiya Primary Health Care Sector / قطاع الشامية للرعاية الصحية الاولية,2022-08-14 07:34:51,44.560756,32.053954,50058.0
824,Al Badir First health center / مركز صحي آل بدير الاول,Al Badir First health center,Primary Health Care Center - Main,HF_CM_DIW_55,Diwaniyah Health Department / Afak Primary Health Care Sector ,Afak Primary Health Care Sector / قطاع عفك للرعاية الصحية الاولية,2022-07-26 07:34:51,45.402639,31.978208,39207.0
832,Sumers first health center / مركز صحي سومر الاول,Sumers first health center,Primary Health Care Center - Main,HF_CM_DIW_70,Diwaniyah Health Department / Afak Primary Health Care Sector ,Afak Primary Health Care Sector / قطاع عفك للرعاية الصحية الاولية,2022-08-01 07:34:51,44.998472,32.150229,49500.0
834,Sumer second health center / مركز صحي سومر الثاني,Sumer second health center,Primary Health Care Center - Main,HF_CM_DIW_71,Diwaniyah Health Department / Afak Primary Health Care Sector ,Afak Primary Health Care Sector / قطاع عفك للرعاية الصحية الاولية,2022-08-02 07:34:51,44.992625,32.147246,49000.0
889,Al helal / مركزصحي الهلال,Al helal,Primary Health Care Center - Main,HF_CM_MNN_69,Muthanna Health Department / Al-Rumaitha Primary Health Care Sector ,Al-Rumaitha Primary Health Care Sector / قطاع الرميثة للرعاية الصحية الاولية,2022-07-31 07:34:51,45.109366,31.428121,41993.0
890,West Al Rumetha / مركز صحي غربي الرميثة,West Al Rumetha,Primary Health Care Center - Main,HF_CM_MNN_65,Muthanna Health Department / Al-Rumaitha Primary Health Care Sector ,Al-Rumaitha Primary Health Care Sector / قطاع الرميثة للرعاية الصحية الاولية,2022-07-31 07:34:51,45.211677,31.523195,40177.0
892,Twentieth revolution  / مركز صحي ثورة العشرين,Twentieth revolution ,Primary Health Care Center - Main,HF_CM_MNN_59,Muthanna Health Department / Al-Rumaitha Primary Health Care Sector ,Al-Rumaitha Primary Health Care Sector / قطاع الرميثة للرعاية الصحية الاولية,2022-07-10 07:34:51,45.205371,31.531889,40177.0
1017,Abbasiya Health Center  / مركز صحي العباسية,Abbasiya Health Center ,Primary Health Care Center - Main,HF_CM_NJJ_36,Najaf Health Department / Abbasia Primary Health Care Sector ,Abbasia Primary Health Care Sector / قطاع العباسية للرعاية الصحية الاولية,2022-07-25 07:34:51,44.442816,32.077698,75079.0
1032,Martyr Ali Al ramahi health center / مركز صحي الشهيد علي الرماحي,Martyr Ali Al ramahi health center,Primary Health Care Center - Main,HF_CS_NJJ_33,Najaf Health Department / Kufa sector for primary health care ,Kufa sector for primary health care / قطاع الكوفة للرعاية الصحية الاولية,2022-07-26 07:34:51,44.428652,31.991539,314418.0
1033,Al kawather health center / مركز صحي الكوثر,Al kawather health center,Primary Health Care Center - Main,HF_CM_NJJ_47,Najaf Health Department / Kufa sector for primary health care ,Kufa sector for primary health care / قطاع الكوفة للرعاية الصحية الاولية,2022-07-27 07:34:51,44.385594,32.018813,44483.0
1035,musilm bn aqeel / مركز صحي مسلم بن عقيل,musilm bn aqeel,Primary Health Care Center - Main,HF_CM_NJJ_78,Najaf Health Department / Kufa sector for primary health care ,Kufa sector for primary health care / قطاع الكوفة للرعاية الصحية الاولية,2022-07-23 07:34:51,44.404116,32.030712,42690.0
1038,Mahdi alattar health center / مركز صحي الشهيد مهدي العطار,Mahdi alattar health center,Primary Health Care Center - Main,HF_CM_NJJ_34,Najaf Health Department / Kufa sector for primary health care ,Kufa sector for primary health care / قطاع الكوفة للرعاية الصحية الاولية,2022-07-25 07:34:51,44.401944,32.038908,40234.0
1041,Hussein naji health center / مركز صحي حسين ناجي/ميسان الاول,Hussein naji health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_NJJ_71,Najaf Health Department / Kufa sector for primary health care ,Kufa sector for primary health care / قطاع الكوفة للرعاية الصحية الاولية,2022-07-25 07:34:51,44.361383,32.057666,43500.0
1070,AL-Qadissiya Health Center / مركز صحي القادسية,AL-Qadissiya Health Center,Primary Health Care Center - Main,HF_CM_NJJ_42,Najaf Health Department / Al Mashkhab Primary Health Care Sector ,Al Mashkhab Primary Health Care Sector / قطاع المشخاب للرعاية الصحية الاولية,2022-07-25 07:34:51,44.480512,31.698254,48029.0
1077,Al-Mashkhab Health Center / مركز صحي المشخاب,Al-Mashkhab Health Center,Primary Health Care Center - Main,HF_CM_NJJ_54,Najaf Health Department / Al Mashkhab Primary Health Care Sector ,Al Mashkhab Primary Health Care Sector / قطاع المشخاب للرعاية الصحية الاولية,2022-07-21 07:34:51,44.491463,31.807803,89695.0
1095,Al Manathera Health Center / مركز صحي المناذرة,Al Manathera Health Center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_NJJ_56,Najaf Health Department / Al Manathera Primary Health Care Sector ,Al Manathera Primary Health Care Sector / قطاع المناذرة للرعاية الصحية الاولية,2022-08-10 07:34:51,44.490902,31.906667,44516.0
1111,Razavi health center / مركز صحي الرضوية,Razavi health center,Primary Health Care Center - Main,HF_CM_NJJ_24,Najaf Health Department / Southern Najaf Health Care First Sector ,Southern Najaf Health Care First Sector / قطاع النجف الجنوبي للرعاية الصحية الاول,2022-07-26 07:34:51,44.409114,31.95181,39930.0
1114,old city health center / مركز صحي المدينة القديمة,old city health center,Primary Health Care Center - Main,HF_CM_NJJ_52,Najaf Health Department / Southern Najaf Health Care First Sector ,Southern Najaf Health Care First Sector / قطاع النجف الجنوبي للرعاية الصحية الاول,2022-07-25 07:34:51,44.322816,31.986072,44966.0
1115,Al-Ansar Health Center / مركز صحي الأنصار,Al-Ansar Health Center,Primary Health Care Center - Main,HF_CM_NJJ_10,Najaf Health Department / Southern Najaf Health Care First Sector ,Southern Najaf Health Care First Sector / قطاع النجف الجنوبي للرعاية الصحية الاول,2022-07-26 07:34:51,44.354796,31.987413,43984.0
1120,Health Center (Dr. Khawla Zwain) / مركز صحي (د. خولة زوين),Health Center (Dr. Khawla Zwain),Primary Health Care Center - Main,HF_CM_NJJ_1,Najaf Health Department / Southern Najaf Health Care First Sector ,Southern Najaf Health Care First Sector / قطاع النجف الجنوبي للرعاية الصحية الاول,2022-08-08 07:34:51,44.370036,32.000277,43540.0
1129,Northern najaf primary health care sector  / قطاع النجف الشمالي للرعاية الصحية الاولية,Northern najaf primary health care sector ,Health Sector,HS_HM_SS_NJJ_6,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-08-31 07:34:51,44.337449,32.012198,549189.0
1135,Al Nasr health center / مركز صحي النصر,Al Nasr health center,Primary Health Care Center - Main,HF_CM_NJJ_59,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-08-14 07:34:51,44.312631,32.038241,57952.0
1138,Orouba health center / مركز صحي حي العروبة,Orouba health center,Primary Health Care Center - Main,HF_CM_NJJ_73,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-08-22 07:34:51,44.333671,32.04531,45968.0
1140,Imam Al Jawad health center / مركز صحي الميلاد / الامام الجواد,Imam Al Jawad health center,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_NJJ_58,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-08-22 07:34:51,44.309435,32.05585,58039.0
1143,Sayed Al Shuhada health center / مركز صحي سيد الشهداء,Sayed Al Shuhada health center,Primary Health Care Center - Main,HF_CM_NJJ_77,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-07-28 07:34:51,44.319508,32.06617,64974.0
1146,Al haidaria health center / مركز صحي الحيدرية,Al haidaria health center,Primary Health Care Center - Main,HF_CM_NJJ_20,Najaf Health Department / Northern Najaf Primary Health Care Sector ,Northern Najaf Primary Health Care Sector / قطاع النجف الشمالي للرعاية الصحية الاولية,2022-08-23 07:34:51,44.265544,32.323511,62303.0
1230,AlQasim Al rayiysiu / مركز صحي القاسم,AlQasim Al rayiysiu,Primary Health Care Center - Main,HF_CM_BBL_53,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-08-05 07:34:51,44.688137,32.307864,119434.0
1233,Al Talaya Health Center  / مركز صحي الطليعة,Al Talaya Health Center ,Primary Health Care Center - Main,HF_CM_BBL_40,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-07-31 07:34:51,44.706533,32.192788,48000.0
1234,Shomali Health Center  / مركز صحي الشوملي,Shomali Health Center ,Primary Health Care Center - Main,HF_CM_BBL_34,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-07-26 07:34:51,44.919459,32.327193,50000.0
1244,Sadiq Health Center  / مركز صحي الصادق,Sadiq Health Center ,Primary Health Care Center - Main,HF_CM_BBL_35,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-07-27 07:34:51,44.655165,32.376229,49542.0
1245,lbrahimia health center  / مركز صحي الابراهيمية,lbrahimia health center ,Primary Health Care Center - Main,HF_CM_BBL_6,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-07-29 07:34:51,44.537296,32.385591,41331.0
1248,Al Huda health center  / مركز صحي الهدى (المدحتية سابقا),Al Huda health center ,Primary Health Care Center - Main,HF_CM_BBL_77,Babylon Health Department / Hashemite Primary Health Care Sector ,Hashemite Primary Health Care Sector / قطاع الهاشمية للرعاية الصحية الاولية,2022-07-27 07:34:51,44.660867,32.400108,139267.0
1274,Al Nile health center  / مركز صحي النيل,Al Nile health center ,Primary Health Care Center - Main,HF_CM_BBL_75,Babylon Health Department / Al Mahaweel Primary Health Care Sector ,Al Mahaweel Primary Health Care Sector / قطاع المحاويل للرعاية الصحية الاولية,2022-08-04 07:34:51,44.5457,32.5448,59086.0
