,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001
1945,Primery care health sector / مركز صحي ابراهيم المهدي,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_1,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.792431,33.63516
1946,Primery care health sector / مركز صحي كنعان,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_88,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-07 07:34:52,44.799063,33.694106
1949,Primary care health sactor / مركز صحي بهرز الاول,Primary care health sactor,Primary Health Care Center - Main,HF_CM_DLL_55,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-15 07:34:52,44.646418,33.708773
1950,Primery care health sector / مركز صحي زاغنية,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_69,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-08 07:34:52,44.64687,33.70886
1952,Primery care health sector / مركز صحي التحرير الاول,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-31 07:34:52,44.651075,33.734456
1954,Primery care health sector / مركز صحي السراي,Primery care health sector,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_DLL_20,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.639144,33.754048
1955,Primery care health sector / مركز صحي التكية,Primery care health sector,Primary Health Care Center - Family Medicine Health Care Center,HF_CM_DLL_7,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-10 07:34:52,44.646922,33.756278
1956,Primery care health sector / مركز صحي الهويدر,Primery care health sector,Primary Health Care Center - Main,HF_CM_DLL_47,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.626861,33.769333
1957,Primery care health sector / مركز صحي الحد الاخضر,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_10,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.626848,33.769337
1959,Primery care health sector  / مركز صحي خرنابات,Primery care health sector ,Primary Health Care Center - Main,HF_CM_DLL_65,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-27 07:34:52,44.635694,33.802472
1960,Primery care health sector / مركز صحي زهرة,Primery care health sector,Primary Health Care Center - Branch,HF_CS_DLL_71,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.687222,33.802717
1962,Primery care health sector  / مركز صحي حد مكسر,Primery care health sector ,Primary Health Care Center - Main,HF_CS_DLL_63,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-30 07:34:52,44.645167,33.843833
1963,Mobile team  / مفرزة دور المعسكر,Mobile team ,Mobile Team,HF_CS_DLL_38,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.673429,33.760899
1965,Mobile team  / مفرزةالمعهد التقني,Mobile team ,Mobile Team,HF_NK_DLL_4,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-28 07:34:52,44.648614,33.742148
1966,Mobile clinic / مفرزة الجيزاني,Mobile clinic,Mobile Team,HF_NK_DLL_5,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-13 07:34:52,44.762675,33.855924
1967,Mobile team  / مفرزة الجزائر,Mobile team ,Mobile Team,HF_NK_DLL_6,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.767229,33.819216
1968,Mobile team / مفرزة الباويه,Mobile team,Mobile Team,HF_NK_DLL_7,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.64956,33.752494
1969,Mobile team / مفرزة دوره,Mobile team,Mobile Team,HF_NK_DLL_19,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-14 07:34:52,44.702767,33.806309
1970,Mobile team / مفرزة حد مزيد,Mobile team,Mobile Team,HF_NK_DLL_20,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-14 07:34:52,44.649654,33.752487
1971,Mobile team  / مفرزة ابو خنازير,Mobile team ,Mobile Team,HF_NK_DLL_32,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.64945,33.752601
1972,Mobile team  / مفرزة ابو كرمه,Mobile team ,Mobile Team,HF_NK_DLL_33,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.576845,33.654367
1973,Mobile team / مفرزة الحديد,Mobile team,Mobile Team,HF_NK_DLL_43,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.650577,33.709081
1974,Mobile team / مفرزة ابو خميس,Mobile team,Mobile Team,HF_NK_DLL_44,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-15 07:34:52,44.64959,33.752315
1975,Mobile team / مفرزة النهر الكبير,Mobile team,Mobile Team,HF_NK_DLL_45,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-11 07:34:52,44.649446,33.752488
1976,Mobile team / الازدهار,Mobile team,Mobile Team,HF_NK_DLL_52,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.794434,33.695381
1977,Mobile team / مفرزة العكر,Mobile team,Mobile Team,HF_NK_DLL_53,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-09 07:34:52,44.649435,33.752487
1978,Mobile team  / مفرزة سجن ديالى المركزي,Mobile team ,Mobile Team,HF_NK_DLL_62,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-26 07:34:52,44.639324,33.740114
1979,Mobile team / فرزة سيسبانه,Mobile team,Mobile Team,HF_NK_DLL_69,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-07-28 07:34:52,44.915266,33.64022
1980,Mobile team  / مفرزة الخوير,Mobile team ,Mobile Team,HF_NK_DLL_70,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-16 07:34:52,44.798984,33.692841
1981,Mobile clinic / مفرزة البدعه,Mobile clinic,Mobile Team,HF_NK_DLL_71,"Diyala Health Department / Baquba, the first sector of primary health care ","Baquba, the first sector of primary health care / قطاع بعقوبة الاول للرعاية الصحية الاولية",2022-08-11 07:34:52,44.774763,33.676567
2109,public health laboratory / مختبر الصحة العامة,public health laboratory,Central Public Health Laboratory,HM_CC_THR_4,Dhi Qar Health Department / Dhi Qar Health Department,Dhi Qar Health Department / دائرة صحة ذي قار,2022-09-10 07:34:52,46.259913,31.066471
2145,Al Zahraa Health Center / مركز الزهراء صحي,Al Zahraa Health Center,Primary Health Care Center - Main,HF_CM_THR_142,Dhi Qar Health Department / Aleslah health care sector ,Aleslah health care sector / قطاع الإصلاح للرعاية الصحية الأولية,2022-08-04 07:34:52,46.599964,31.179433
2257,University health center / مركز الجامعة,University health center,Primary Health Care Center - Main,HF_CS_THR_7,Dhi Qar Health Department / Nasiriyah Second Sector for Primary Health Care ,Nasiriyah Second Sector for Primary Health Care / قطاع الناصرية الثاني للرعاية الصحية الاولية,2022-07-10 07:34:53,46.218786,31.048492
2283,Al Zahraa Health Center / مركز صحي الزهراء,Al Zahraa Health Center,Primary Health Care Center - Main,HF_CM_THR_88,Dhi Qar Health Department / Al Nasr Primary Health Care Sector,Al Nasr Primary Health Care Sector / قطاع النصر  للرعاية الصحية الأولية,2022-07-31 07:34:53,46.120637,31.530155
2524,alsamad / العهد الجديد,alsamad,Health House,HF_HH_SLL_24,Salahuddin Health Department / Regions sector east of the Tigris River for primary health care ,Regions sector east of the Tigris River for primary health care / قطاع المناطق شرق نهر دجلة للرعاية الصحية الاولية,2022-08-02 07:34:53,43.6971024,34.7158802
2528,alsamad / الصمد,alsamad,Health House,HF_HH_SLL_42,Salahuddin Health Department / Regions sector east of the Tigris River for primary health care ,Regions sector east of the Tigris River for primary health care / قطاع المناطق شرق نهر دجلة للرعاية الصحية الاولية,2022-07-02 07:34:53,43.712626,34.7150034
2601,mobile clinic / عيادة متنقلة,mobile clinic,Mobile Clinic,HF_HH_SLL_55,Salahuddin Health Department / Samarra Primary Health Care Sector ,Samarra Primary Health Care Sector / قطاع سامراء للرعاية الصحية الاولية,2022-08-16 07:34:53,43.9166564,34.189706
2790,public health laboratory / مختبر الصحة العامة,public health laboratory,Central Public Health Laboratory,HS_AA_KRR_4,Kirkuk Health Department / Kirkuk Health Department,Kirkuk Health Department / دائرة صحة كركوك,2022-08-01 07:34:53,44.366851,35.41415
2796,Immediate Aid Division / شعبة الإسعاف الفوري,Immediate Aid Division,Immediate First Aid Center,HS_AA_KRR_1,Kirkuk Health Department / Kirkuk Health Department,Kirkuk Health Department / دائرة صحة كركوك,2022-07-27 07:34:53,44.367836,35.413964
2806,blood bank / مصرف دم رئيسي,blood bank,Blood Bank Center -Main,HS_BF_KRR_1,Kirkuk Health Department / Kirkuk Health Department,Kirkuk Health Department / دائرة صحة كركوك,2022-07-26 07:34:53,44.411024,35.468723
2935,Al Salam / مركز صحي السلام,Al Salam,Primary Health Care Center - Main,HF_CM_KRR_25,Kirkuk Health Department / Kirkuk first health care sector ,Kirkuk first health care sector / قطاع كركوك الأول للرعاية الصحية الاولية,2022-07-28 07:34:53,44.386478,35.455343
2996,Gastroenterology and Liver Hospital / مستشفى امراض الجهاز الهضمي والكبد,Gastroenterology and Liver Hospital,Hospital,SH_HO_MDD_5,Medical City Health Department / Medical City Health Department,Medical City Health Department / دائرة صحة مدينة الطب,2022-08-26 07:34:53,44.37792,33.346248
3005,The second popular medical clinic / العيادة الطبية الشعبية الثانية,The second popular medical clinic,Public Health Clinic,HS_ED_MES_5,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-09-01 07:34:54,47.142444,31.831342
3006,Fourth People's Medical Clinic / العيادة الطبية الشعبية الرابعة,Fourth People's Medical Clinic,Public Health Clinic,HS_ED_MES_8,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-23 07:34:54,47.1583,31.8336
3009,Third People's Medical Clinic / العيادة الطبية الشعبية الثالثة,Third People's Medical Clinic,Public Health Clinic,HS_ED_MES_3,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-23 07:34:54,47.159698,31.845306
3010,The first popular medical clinic / العيادة الطبية الشعبية الاولى,The first popular medical clinic,Public Health Clinic,HS_ED_MES_1,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-24 07:34:54,47.1547,31.8454
3013,Central Health Laboratory / المختبر المركزي,Central Health Laboratory,Central Public Health Laboratory,HM_CC_MES_4,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-09 07:34:54,47.144981,31.849015
3014,Specialized Oncology Center / المركز التخصصي للاورام,Specialized Oncology Center,Specialized Center,HT_CS_MES_6,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-24 07:34:54,46.978998,31.70796
3015,Chest Diseases Consulting Clinic / العيادة الاستشارية للامراض الصدرية,Chest Diseases Consulting Clinic,Specialized Center,HT_CS_MES_1,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-24 07:34:54,47.142106,31.821476
3017,Hematology Center / مركز امراض الدم,Hematology Center,Specialized Center,HT_CS_MES_3,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-07-14 07:34:54,47.146499,31.832798
3023,Immediate Aid Division / شعبة الاسعاف الفوري,Immediate Aid Division,Immediate First Aid Center,HM_CC_MES_5,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-09-06 07:34:54,47.135039,31.849569
3030,Al-Sadr Teaching Hospital / مستشفى الصدر,Al-Sadr Teaching Hospital,Hospital,SH_HO_MES_4,Maysan Health Department / Maysan Health Department,Maysan Health Department / دائرة صحة ميسان,2022-08-03 07:34:54,47.141773,31.852619
3090,Al Salam / مركز صحي السلام,Al Salam,Primary Health Care Center - Main,HF_CM_MES_24,Maysan Health Department / Almajar Alkabeer (second) sector of primary health care ,Almajar Alkabeer (second) sector of primary health care / قطاع المجر الكبير (الثاني) للرعاية الصحية الاولية,2022-07-26 07:34:54,46.980133,31.54084
3118,mobile clinic / عيادة متنقلة,mobile clinic,Mobile Clinic,HF_CS_MES_82,Maysan Health Department / Ali Al-Gharbi (third) primary health care sector ,Ali Al-Gharbi (third) primary health care sector / قطاع علي الغربي (الثالث) للرعاية الصحية الاولية,2022-07-19 07:34:54,46.73503,32.12268
3148,mobile clinic / عيادة متنقلة,mobile clinic,Mobile Clinic,HF_CM_MES_84,Maysan Health Department / Qal'at Saleh (fourth) sector for primary health care ,Qal'at Saleh (fourth) sector for primary health care / قطاع قلعة صالح (الرابع) للرعاية الصحية الاولية,2022-07-29 07:34:54,47.291164,31.523917
3183,public health laboratory / مختبر الصحة العامة المركزي,public health laboratory,Central Public Health Laboratory,HM_CC_NNN_9,Nineveh Health Department / Nineveh Health Department,Nineveh Health Department / دائرة صحة نينوى,2022-10-11 07:34:54,43.1457091,36.3296104
3278,Al Noor Health Center / مركز صحي النور,Al Noor Health Center,Primary Health Care Center - Main,HF_CM_NNN_60,Nineveh Health Department / Alaisar (Left) Primary Health Care Sector ,Alaisar (Left) Primary Health Care Sector / قطاع الرعاية الصحية الاولية الايسر,2022-08-06 07:34:54,43.187198,36.357582
3283,University health center / مركز صحي الجامعة,University health center,Primary Health Care Center - Main,HF_CM_NNN_25,Nineveh Health Department / Alaisar (Left) Primary Health Care Sector ,Alaisar (Left) Primary Health Care Sector / قطاع الرعاية الصحية الاولية الايسر,2022-08-15 07:34:54,43.144232,36.377346
3287,Al Zahraa Health Center / مركز صحي حي الزهراء,Al Zahraa Health Center,Primary Health Care Center - Main,HF_CM_NNN_74,Nineveh Health Department / Alaisar (Left) Primary Health Care Sector ,Alaisar (Left) Primary Health Care Sector / قطاع الرعاية الصحية الاولية الايسر,2022-08-07 07:34:54,43.210955,36.38999
3553,Alsalam center health / مركز صحي السلام,Alsalam center health,Primary Health Care Center - Main,HC_CM_NNN_198,Nineveh Health Department / Primary health care sector in Tal Afar ,Primary health care sector in Tal Afar / قطاع الرعاية الصحية الاولية في تلعفر,2022-08-08 07:34:54,42.452137,36.384027
3603,public health center  / العيادة الطبية الشعبية المشروع التخصصية,public health center ,Public Health Clinic,HS_ED_WAS_10,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-07 07:34:54,45.83007,32.50216
3607,public health center  / العيادة الطبية الشعبية القدس,public health center ,Public Health Clinic,HS_ED_WAS_8,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-02 07:34:54,45.41788,32.55028
3609,public health center  / العيادة الطبية الشعبية العزيزية,public health center ,Public Health Clinic,HS_ED_WAS_7,Wasit Health Department / Wasit Health Department,Wasit Health Department / دائرة صحة واسط,2022-08-08 07:34:54,45.06567,32.75628
